Mass [m/z],Formula [M],Formula type,Species,CS [z],Polarity,Start [min],End [min],Comment
200.05920,,,,,Positive,,,
201.02410,,,,,Negative,,,
201.07640,,,,,Negative,,,
202.96940,,,,,Positive,,,
203.03180,,,,,Negative,,,
203.05220,,,,,Positive,,,
204.99480,,,,,Positive,,,
205.08550,,,,,Positive,,,
206.99140,,,,,Positive,,,
208.99050,,,,,Positive,,,
209.08040,,,,,Positive,,,
209.20120,,,,,Positive,,,
210.18490,,,,,Positive,,,
212.14350,,,,,Positive,,,
213.01450,,,,,Negative,,,
213.07640,,,,,Negative,,,
213.14910,,,,,Negative,,,
215.09210,,,,,Negative,,,
215.12560,,,,,Positive,,,
217.00260,,,,,Negative,,,
217.01840,,,,,Positive,,,
217.10460,,,,,Positive,,,
217.10770,,,,,Negative,,,
218.00600,,,,,Negative,,,
219.08960,,,,,Positive,,,
219.17500,,,,,Negative,,,
222.00470,,,,,Positive,,,
223.01960,,,,,Negative,,,
224.02340,,,,,Negative,,,
224.20020,,,,,Positive,,,
225.18546,,,,,Negative,,,
226.17990,,,,,Positive,,,
227.09200,,,,,Negative,,,
227.20111,,,,,Negative,,,
227.20130,,,,,Negative,,,
228.19560,,,,,Positive,,,
229.10780,,,,,Negative,,,
230.24760,,,,,Positive,,,
231.08720,,,,,Negative,,,
231.12010,,,,,Positive,,,
232.97520,,,,,Negative,,,
233.07780,,,,,Positive,,,
233.15430,,,,,Negative,,,
234.18490,,,,,Positive,,,
234.97570,,,,,Negative,,,
235.23780,,,,,Positive,,,
235.97340,,,,,Negative,,,
237.08280,,,,,Positive,,,
237.09130,,,,,Negative,,,
238.08610,,,,,Positive,,,
238.09400,,,,,Negative,,,
239.05940,,,,,Negative,,,
239.09330,,,,,Negative,,,
239.10600,,,,,Positive,,,
239.14700,,,,,Positive,,,
239.20111,,,,,Negative,,,
240.10860,,,,,Positive,,,
240.96940,,,,,Negative,,,
241.03530,,,,,Positive,,,
241.07140,,,,,Negative,,,
241.08340,,,,,Positive,,,
241.10790,,,,,Negative,,,
241.21676,,,,,Negative,,,
242.17590,,,,,Negative,,,
242.96630,,,,,Negative,,,
243.08740,,,,,Negative,,,
243.12340,,,,,Negative,,,
244.19010,,,,,Positive,,,
244.95380,,,,,Positive,,,
244.96500,,,,,Negative,,,
245.10290,,,,,Negative,,,
245.13570,,,,,Positive,,,
246.95080,,,,,Positive,,,
248.97400,,,,,Negative,,,
249.25330,,,,,Positive,,,
250.17750,,,,,Positive,,,
250.25640,,,,,Positive,,,
250.97590,,,,,Negative,,,
253.21676,,,,,Negative,,,
253.21720,,,,,Negative,,,
255.08740,,,,,Negative,,,
255.23241,,,,,Negative,,,
255.23280,,,,,Negative,,,
256.23630,,,,,Negative,,,
257.10310,,,,,Negative,,,
257.13920,,,,,Negative,,,
258.27870,,,,,Positive,,,
259.06490,,,,,Positive,,,
259.08260,,,,,Negative,,,
259.11860,,,,,Negative,,,
260.11680,,,,,Positive,,,
260.92750,,,,,Positive,,,
261.08740,,,,,Positive,,,
261.13060,,,,,Positive,,,
262.98070,,,,,Positive,,,
263.26890,,,,,Positive,,,
264.27210,,,,,Positive,,,
264.99180,,,,,Negative,,,
265.14790,,,,,Negative,,,
265.21676,,,,,Negative,,,
266.15110,,,,,Negative,,,
266.17410,,,,,Positive,,,
267.23241,,,,,Negative,,,
268.99800,,,,,Positive,,,
269.13750,,,,,Positive,,,
269.21250,,,,,Negative,,,
269.24806,,,,,Negative,,,
269.24860,,,,,Negative,,,
270.00140,,,,,Positive,,,
271.11890,,,,,Negative,,,
271.23070,,,,,Positive,,,
271.97240,,,,,Positive,,,
272.14940,,,,,Positive,,,
273.09830,,,,,Negative,,,
273.13440,,,,,Negative,,,
273.16710,,,,,Positive,,,
274.16500,,,,,Positive,,,
275.20111,,,,,Negative,,,
277.10500,,,,,Positive,,,
277.21676,,,,,Negative,,,
277.28460,,,,,Positive,,,
278.95470,,,,,Positive,,,
279.09170,,,,,Positive,,,
279.15860,,,,,Positive,,,
279.23241,,,,,Negative,,,
279.23310,,,,,Negative,,,
280.16170,,,,,Positive,,,
280.97870,,,,,Negative,,,
281.24806,,,,,Negative,,,
281.24860,,,,,Negative,,,
282.25190,,,,,Negative,,,
282.97640,,,,,Negative,,,
283.06930,,,,,Positive,,,
283.11880,,,,,Negative,,,
283.26371,,,,,Negative,,,
283.26430,,,,,Negative,,,
284.26770,,,,,Negative,,,
284.33050,,,,,Positive,,,
284.97170,,,,,Positive,,,
285.25150,,,,,Positive,,,
287.11370,,,,,Negative,,,
287.99490,,,,,Negative,,,
288.14970,,,,,Positive,,,
288.99610,,,,,Negative,,,
289.12950,,,,,Negative,,,
290.15970,,,,,Positive,,,
293.17900,,,,,Negative,,,
296.06560,,,,,Negative,,,
297.15350,,,,,Negative,,,
297.16520,,,,,Positive,,,
297.24310,,,,,Negative,,,
297.27936,,,,,Negative,,,
299.00610,,,,,Negative,,,
299.00850,,,,,Positive,,,
299.11370,,,,,Negative,,,
299.15000,,,,,Negative,,,
300.20380,,,,,Positive,,,
301.12910,,,,,Negative,,,
301.14050,,,,,Positive,,,
301.21676,,,,,Negative,,,
302.14410,,,,,Positive,,,
302.19640,,,,,Positive,,,
303.23241,,,,,Negative,,,
304.17540,,,,,Positive,,,
304.29950,,,,,Positive,,,
305.02320,,,,,Negative,,,
305.15680,,,,,Positive,,,
305.24806,,,,,Negative,,,
306.02650,,,,,Negative,,,
307.26371,,,,,Negative,,,
307.99770,,,,,Negative,,,
309.13060,,,,,Positive,,,
309.17460,,,,,Negative,,,
309.27936,,,,,Negative,,,
310.23490,,,,,Positive,,,
311.16880,,,,,Negative,,,
311.29501,,,,,Negative,,,
312.17230,,,,,Negative,,,
313.12910,,,,,Negative,,,
313.14130,,,,,Positive,,,
313.16690,,,,,Negative,,,
315.14510,,,,,Negative,,,
315.18500,,,,,Positive,,,
316.17530,,,,,Positive,,,
317.11460,,,,,Positive,,,
317.12370,,,,,Negative,,,
317.16060,,,,,Negative,,,
318.19090,,,,,Positive,,,
319.09470,,,,,Negative,,,
320.10800,,,,,Negative,,,
320.99670,,,,,Negative,,,
321.13070,,,,,Positive,,,
321.21040,,,,,Negative,,,
322.97040,,,,,Negative,,,
323.14570,,,,,Positive,,,
325.18450,,,,,Negative,,,
325.31066,,,,,Negative,,,
326.18800,,,,,Negative,,,
327.18370,,,,,Negative,,,
327.23241,,,,,Negative,,,
329.16110,,,,,Negative,,,
329.24806,,,,,Negative,,,
331.13970,,,,,Negative,,,
331.21540,,,,,Positive,,,
331.26371,,,,,Negative,,,
332.20800,,,,,Positive,,,
332.33060,,,,,Positive,,,
333.27936,,,,,Negative,,,
334.18530,,,,,Positive,,,
335.03310,,,,,Negative,,,
335.29501,,,,,Negative,,,
337.31066,,,,,Negative,,,
338.34140,,,,,Positive,,,
339.19850,,,,,Negative,,,
339.32631,,,,,Negative,,,
340.20160,,,,,Negative,,,
341.11170,,,,,Negative,,,
341.19880,,,,,Negative,,,
343.13890,,,,,Negative,,,
344.22920,,,,,Positive,,,
344.98400,,,,,Positive,,,
345.15530,,,,,Negative,,,
346.22550,,,,,Positive,,,
347.14350,,,,,Negative,,,
348.20070,,,,,Positive,,,
349.18370,,,,,Positive,,,
350.34070,,,,,Positive,,,
351.00100,,,,,Positive,,,
353.34196,,,,,Negative,,,
357.14500,,,,,Positive,,,
358.15270,,,,,Negative,,,
359.17240,,,,,Negative,,,
359.21680,,,,,Positive,,,
362.21640,,,,,Positive,,,
362.98180,,,,,Negative,,,
364.97960,,,,,Negative,,,
365.10540,,,,,Positive,,,
365.15580,,,,,Positive,,,
365.26870,,,,,Negative,,,
365.34196,,,,,Negative,,,
366.26390,,,,,Positive,,,
366.97530,,,,,Positive,,,
367.24500,,,,,Negative,,,
367.35761,,,,,Negative,,,
367.35820,,,,,Negative,,,
368.42470,,,,,Positive,,,
371.16210,,,,,Positive,,,
373.19030,,,,,Negative,,,
373.23660,,,,,Positive,,,
375.16640,,,,,Negative,,,
376.23770,,,,,Positive,,,
377.22550,,,,,Positive,,,
378.21030,,,,,Positive,,,
378.95540,,,,,Negative,,,
379.15560,,,,,Negative,,,
381.00890,,,,,Negative,,,
381.37326,,,,,Negative,,,
381.37480,,,,,Negative,,,
383.14900,,,,,Positive,,,
385.17920,,,,,Positive,,,
387.02630,,,,,Negative,,,
388.02990,,,,,Negative,,,
388.25490,,,,,Positive,,,
389.18210,,,,,Negative,,,
390.00050,,,,,Negative,,,
391.28390,,,,,Positive,,,
391.28880,,,,,Negative,,,
392.22740,,,,,Positive,,,
392.28690,,,,,Positive,,,
392.29170,,,,,Negative,,,
393.17230,,,,,Negative,,,
393.21240,,,,,Positive,,,
393.28670,,,,,Negative,,,
393.29100,,,,,Positive,,,
394.28960,,,,,Negative,,,
395.38891,,,,,Negative,,,
395.38960,,,,,Negative,,,
399.25080,,,,,Positive,,,
400.25500,,,,,Positive,,,
401.09740,,,,,Negative,,,
401.13470,,,,,Negative,,,
403.00000,,,,,Negative,,,
403.24060,,,,,Positive,,,
404.98610,,,,,Negative,,,
405.97500,,,,,Negative,,,
407.18830,,,,,Negative,,,
408.30920,,,,,Positive,,,
408.96010,,,,,Positive,,,
409.17960,,,,,Positive,,,
413.26590,,,,,Positive,,,
414.26940,,,,,Positive,,,
415.27360,,,,,Positive,,,
417.03450,,,,,Negative,,,
417.26280,,,,,Positive,,,
418.24310,,,,,Positive,,,
418.97400,,,,,Negative,,,
419.23370,,,,,Positive,,,
419.31710,,,,,Positive,,,
421.20270,,,,,Negative,,,
421.24170,,,,,Positive,,,
425.21340,,,,,Positive,,,
429.24040,,,,,Positive,,,
430.24200,,,,,Positive,,,
431.23760,,,,,Positive,,,
432.28180,,,,,Positive,,,
433.00450,,,,,Positive,,,
433.25280,,,,,Positive,,,
433.33580,,,,,Negative,,,
434.33860,,,,,Negative,,,
437.22630,,,,,Positive,,,
444.38070,,,,,Positive,,,
444.98480,,,,,Negative,,,
446.98110,,,,,Negative,,,
448.97920,,,,,Positive,,,
449.33710,,,,,Positive,,,
450.34320,,,,,Positive,,,
453.20880,,,,,Positive,,,
457.30340,,,,,Positive,,,
459.32760,,,,,Negative,,,
460.33100,,,,,Negative,,,
460.95850,,,,,Negative,,,
461.28840,,,,,Positive,,,
463.01400,,,,,Negative,,,
463.32850,,,,,Negative,,,
464.33050,,,,,Negative,,,
465.32610,,,,,Negative,,,
469.02910,,,,,Negative,,,
470.03290,,,,,Negative,,,
472.00370,,,,,Negative,,,
475.17490,,,,,Negative,,,
475.32660,,,,,Positive,,,
476.30890,,,,,Positive,,,
478.38890,,,,,Positive,,,
479.39280,,,,,Positive,,,
480.39460,,,,,Positive,,,
481.25150,,,,,Positive,,,
483.12130,,,,,Negative,,,
485.00360,,,,,Negative,,,
486.35690,,,,,Positive,,,
486.98690,,,,,Negative,,,
487.38870,,,,,Positive,,,
487.97880,,,,,Negative,,,
489.18990,,,,,Negative,,,
491.29950,,,,,Positive,,,
492.40490,,,,,Positive,,,
493.40860,,,,,Positive,,,
495.26920,,,,,Positive,,,
497.22890,,,,,Positive,,,
500.37600,,,,,Positive,,,
500.97730,,,,,Negative,,,
501.41060,,,,,Positive,,,
505.37560,,,,,Negative,,,
506.37760,,,,,Negative,,,
507.37620,,,,,Negative,,,
515.00820,,,,,Positive,,,
515.42200,,,,,Positive,,,
522.59710,,,,,Positive,,,
526.98770,,,,,Negative,,,
529.44020,,,,,Positive,,,
532.44130,,,,,Positive,,,
536.16570,,,,,Positive,,,
537.16490,,,,,Positive,,,
537.39620,,,,,Positive,,,
538.16230,,,,,Positive,,,
542.96320,,,,,Negative,,,
544.39440,,,,,Positive,,,
547.10230,,,,,Negative,,,
549.10040,,,,,Negative,,,
550.62820,,,,,Positive,,,
551.03060,,,,,Negative,,,
551.63130,,,,,Positive,,,
552.03260,,,,,Negative,,,
553.38110,,,,,Positive,,,
554.00630,,,,,Negative,,,
557.18220,,,,,Negative,,,
565.11350,,,,,Negative,,,
567.00740,,,,,Negative,,,
571.19770,,,,,Negative,,,
575.13440,,,,,Negative,,,
577.13350,,,,,Negative,,,
581.05410,,,,,Negative,,,
582.97770,,,,,Negative,,,
589.15090,,,,,Negative,,,
591.14880,,,,,Negative,,,
603.16710,,,,,Negative,,,
605.16560,,,,,Negative,,,
608.99110,,,,,Negative,,,
609.09840,,,,,Negative,,,
610.18470,,,,,Positive,,,
611.09470,,,,,Negative,,,
611.18440,,,,,Positive,,,
612.18260,,,,,Positive,,,
613.09230,,,,,Negative,,,
623.11360,,,,,Negative,,,
623.57210,,,,,Negative,,,
624.23480,,,,,Positive,,,
624.96620,,,,,Negative,,,
625.10900,,,,,Negative,,,
625.23580,,,,,Positive,,,
633.03580,,,,,Negative,,,
637.12780,,,,,Negative,,,
638.60730,,,,,Positive,,,
639.12410,,,,,Negative,,,
641.12760,,,,,Negative,,,
649.01020,,,,,Negative,,,
663.45320,,,,,Positive,,,
664.45940,,,,,Positive,,,
673.09130,,,,,Negative,,,
675.09330,,,,,Negative,,,
680.47700,,,,,Positive,,,
681.48170,,,,,Positive,,,
684.20320,,,,,Positive,,,
685.20310,,,,,Positive,,,
685.42600,,,,,Positive,,,
686.20220,,,,,Positive,,,
690.99280,,,,,Negative,,,
698.25380,,,,,Positive,,,
715.03790,,,,,Negative,,,
721.50540,,,,,Positive,,,
723.50490,,,,,Positive,,,
731.01440,,,,,Negative,,,
750.55740,,,,,Positive,,,
751.56190,,,,,Positive,,,
764.57170,,,,,Positive,,,
777.59310,,,,,Negative,,,
797.04440,,,,,Negative,,,
819.64040,,,,,Negative,,,
820.64250,,,,,Negative,,,
891.68000,,,,,Negative,,,
933.72610,,,,,Negative,,,
